index,title,topic_idx
32,원희룡 장관 “불법 관행 뿌리 뽑겠다”…건설노조에 강경대응 시사,3
33,국토부 1차관 공공주택 건설현장 점검 “서민 주거안정 위협”,3
34,전문건설 기업승계 준비 왜 지금부터인가,3
35,건설현장 사고발생 인지 후 ‘6시간 내 신고’로 완화,3
36,2024년까지 건설임대주택 과세 특례…양도소득 70% 장기보유공제,3
37,건설 사고 발생지 지자체에 행정처분 권한 부여…개정안 국회서 발의,3
38,당정 “건설노조 불법행위 엄격 법집행…무너진 균형추 살릴 것”,3
39,빛바랜 납품단가 연동제 시범사업… 건설사 참여 3곳뿐 생색용?,3
40,건설산업 선진화의 기본 취지를 되새길 때다,3
41,건설사 지식산업센터서 안쫓겨나도 된다,3
42,대법 “관리규정 통한 건설업등록기준 확대해석은 부당”,3
43,원희룡 장관 “해외건설 3.0시대 선언…수주 전방위 지원”,3
44,“벌점 경감 확대해 건설업체 경영부담 완화한다”…재검토 규제 333건 개선,3
45,해외파견 건설근로자 특별연장근로 최대 180일로 확대,3
46,영세한 사업장 많아 재해사고 잦은데… 건설업 근로환경개선 지원 예산 ‘0’,3
47,조달청 전문건설업 대업종화에 따른 나라장터 시스템 개선,3
48,레미콘운송비 인상·인건비 상승·겨울 비수기…건설업계 3중고 ‘한파’,3
49,건설사업관리용역평가 세부항목 등 간소화키로,3
50,건설업계 “내년 SOC 예산 32조 이상 편성 필요”…국회에 요청,3
51,뒤로 가는 동반성장… 중소건설사들 상생 체감 ‘뚝’,3
52,전문건설업계 “정부는 주계약자 공동도급제도 후퇴 말라”,3
53,정부기관들 건설노조 불법행위 동시다발 단속,3
54,정부 건설사업자 경영 여건 개선 나서…건설업 등록기준 현실화 등,3
55,정부 10~11월 건설현장 불법행위 단속…국토부·경찰청 등,3
56,동반성장지수 발표…최우수등급 건설사 작년대비 30% 증가,3
57,근로환경지원 예산 지원대상서 건설업은 제외 파문,3
58,외국인 건설기능사 자격증 응시 매년 5만여명…숙련·승진 길 열어주자,3
59,건설산업의 기세를 꺾지 마라,3
60,숙련 외국인 기능인력 양성 건설업만 빠져 홀대,3
61,대장신도시∼홍대 광역철도 건설…내년 초 우선협상대상자 지정,3
62,납품단가 연동제 시범사업에 41곳 신청…건설사는 단 2곳 그쳐,3
63,정부 ‘건설사업자의 시공능력 평가제도’ 실제역량 반영토록 개선한다,3
64,추석 앞둔 전문건설업체들이 맞은 몇가지 풍경,3
65,건설노조 횡포 본격 단속…정부 관련부처 실무협의체 구성,3
66,“내년 건설관련 예산 대폭 삭감…국민 복지 인프라 악영향 우려”,3
67,‘해외건설 수주 지원’…글로벌 인프라 협력 콘퍼런스 개최,3
68,국토부 건설 공공데이터 대개방…건실한 건설사 선별 지원 나서,3
69,건설기술경력증 대여 건설엔지니어링사업자도 등록취소나 영업정지,3
70,8월 한 달간 국회서 건설관련 어떤 법안 발의됐나?,3
71,이집트 엘다바 원전 건설 3조원 수주…UAE 바라카 이후 13년 만의 쾌거,3
72,2022 건설의 날 ●전문건설업체 영예의 수상자들,3
73,‘건설의 날’ 기념식 개최…건설인 114명 정부포상·표창 수상,3
74,건설사업자 사무실 ‘규제’로 피해 없어야,3
75,‘평택 스쿨존 사고’ 재발 막는다…건설기계도 ‘민식이법’ 포함,3
76,건설업 외국인력 공급 확대 추진…업계 특성 고려 고용허가제 개선 검토,3
77,중소 건설기업 정책홀대 이젠 개선될까,3
78,‘하수급 위반’ 영업정지된 건설사 과징금으로 처벌 못피한다,3
79,원희룡 국토장관 “세계 건설시장 적극 개척해 달라”,3
80,믿는 도끼에 발등 찍히는 전문건설,3
81,건설노조 불법행위 사례 취합 전문건설업계 집단고발 추진,3
82,하반기 안갯속 건설경기 ‘경고등’ 해법은?,3
83,새 지자체장들 지역건설 활성화 나선다…“즉각적인 경기부양 효과 커”,3
84,국토부 ‘시공책임형 건설사업관리’ 시범사업 확대,3
85,전문건설 이번엔 ‘장마·폭염 리스크’와 사투,3
86,건설노조 불법행위 근절 국토부·고용부 함께 법제화 검토,3
87,건설 규제개선 속도 높인다,3
88,건설업계가 ‘탄원’할 수밖에 없는 이유,3
89,이원재 국토차관 “건설산업 디지털화 공공이 마중물 역할”,3
90,건설업계 “자재비 폭등…정부차원 비상대책 마련해달라” 촉구,3
91,국토부 제2철도교통관제센터 건설사업 기본계획 확정·고시,3
92,“전문·종합건설업간 상호시장진출실적 수행실적으로 인정한다”,3
93,고용장관 “하반기 건설현장 등 임금체불 사업장 집중감독”,3
94,건설업 적정임금제 정착·확산 위한 상생협약식 열려,3
95,정부 적정임금제 도입 강행…건설업계 “시장경제 역행” 반발,3
96,건설근로자에 적정임금 미지급 시 시정명령,3
97,건설근로자 적정임금제 업계 반발 속 추진,3
98,송옥주 의원 ‘적정임금제 법제화’ 건설근로자법 개정안 대표발의,3
99,건설업 적정임금제 윤곽… ‘산정기관’ 두고 부처간 이견,3
100,국토부 “산하 건설현장 체불 ‘0’…임금직불 효과 커”,3
101,“건설업만 적정임금제 도입은 노사 자율결정 위배 위헌 소지”,3
102,건설의 날을 맞아,3
103,전문건설 1만3000개사 탄원서 제출… 무슨 내용 담겼나,3
104,화물연대 파업에 “레미콘·철근 동났다”…건설현장 ‘셧다운’ 위기,3
105,“건설노조 불법행위 엄정 법집행하라”…전문건설협회 대규모 탄원서 제출,3
106,정부 “종합건설업종에도 주력분야 도입 검토”…민·관 상호시장개방 보완책 강구,3
107,8월부터 신고포상금 지급…공정건설지원센터 운영 지침 마련됐다,3
108,철도공단 올해 시설 분야 사업비 2조5488억 집행…건설자잿가 상승 대가반영,3
109,한덕수 총리 “건설현장 노조원 채용강요 불법행위 고용부 조사 철저 지시”,3
110,건설산업 고부가가치화 구체적 방안 마련 추진,3
111,건설인들 이름 찾아주기,3
112,건설산업 규제개선 과제 이르면 내달 발표,3
113,하도급사 넘어 원도급사까지 타격…자재 리스크에 잠식된 건설업계,3
114,전문 건설인들의 절규,3
115,LH 건설 불공정 관행 없앤다…5개 부문서 26개 과제 추진,3
116,“품질관리 건설기술인 배치기준 등급에 ‘품질업무’ 경력 추가”,3
117,너무 나간 건설노조 초심 되찾자,3
118,국토부-해건협 ‘2022년 2분기 해외건설 기업 간담회’ 개최,3
119,“전문건설 일방적 희생 강요 정책 철회를” 결의문 채택·거리시위,3
120,전문건설업계 “상호시장 개방으로 줄도산 위기…즉각 업역 복원해야”,3
121,전문건설업계 국토부에 생존권 보장 촉구 기자회견 개최,3
122,전문건설업계 자재비 폭등에 “계약증액 없다면 폐업 불가피” 호소,3
123,벼랑 끝 몰린 건설업계,3
124,시멘트업계 2분기 생산 36% 확대…“건설자재 대란 막는다”,3
125,지식센터 입주·명문장수기업 대상 제외 등 홀대…“새정부 건설업패싱 개선해야”,3
126,전문건설업계 ‘업역폐지 국토부 규탄대회’ 오는 12일 연다,3
127,내년 건설예산안 ‘국토균형발전·민간투자 확대’ 역점,3
128,명문장수기업 전체 중견기업으로 확대…건설업은 여전히 신청제한 업종,3
129,한은 “건설자재 가격 역대 3위…건설사 수익성 악화시킬 수도 ”,3
130,산단·지식센터에 입주해도 건설업 등록기준 충족,3
131,대구시 “공공건설 70% 상반기 조기 발주”…지역업체 입찰 확대,3
132,공정과 상식의 건설정책,3
133,공공조기발주 본격화…건설업계 ‘선금수수료·보증비용·자재리스크’ 등 부작용 우려,3
134,광주시 지역건설산업 활성화 계획 마련,3
135,건설업계 “윤석열 당선인 축하…과감한 규제 개혁 해달라”,3
136,공공 발주기관들 건설업계 반대에도 건설원가 공개 추진,3
137,자잿값·인건비 급등에 얼어붙는 건설경기,3
138,299명 전문건설 사업자 “생산체계 개편 불평등” 규탄…거리행진도,3
139,“전문건설 상호시장 개방으로 줄도산 몰려… 업역 원상 복원해야”,3
140,전문건설 생존권 보장 촉구 17·24일 궐기대회,3
141,전문건설업계 “생산구조 개편이 중소건설사 사지로 내몰아 개선 필요”,3
142,건설 인플레이션 대비해야,3
143,‘건설현장 휴게실 의무화’ 대상 본격 논의,3
144,포퓰리즘 말고 건설적 공약을,3
145,건설분야도 ‘전문법관’ 도입…서울중앙지법서 시범 운영,3
146,건설현장은 지금 ‘불법하도급·채용 강요’ 점검 중,3
147,조달청 나라장터 대업종화 따른 전문건설 입찰자격 정비 완료,3
148,조달청 전문건설업 대업종화에 따른 입찰제도 개선,3
149,신년사 - 윤학수 대한전문건설협회 중앙회장 겸 대한전문건설신문 발행인,3
150,내년 토목 수주 55조 예측…2022년 건설업 전망 ‘일부 긍정적’,3
151,상호진출 허용 후 첫 실태점검…점검현장 34%서 종합건설 ‘직접시공’ 위반,3
152,권익위 건설사업자 권익 보호 방안 잇달아,3
153,정부 내년 경제성장률 3.1% 제시…건설투자는 증가 전환 예상,3
154,스마트 건설 상상이 현실로,3
155,“건설산업 융복합 첨단기술 허브로 육성”,3
156,공정위 ‘건설사 과당경쟁 방지 요구·지역업체 우선 지원’ 지자체 조례·규칙 개선 유도,3
157,“내년 전문건설 계약액 100조 돌파…건설 전체 수주는 2% 증가 전망”,3
158,건설노조 횡포 전전긍긍 불구 노사정 갈등해소센터 ‘신고 0’,3
159,대선후보도 알아야 할 건설 현안,3
160,노조 천하 건설현장,3
161,탄소중립 과속과 건설,3
162,“독자와 늘 함께하는 대한전문건설신문이 되겠습니다”,3
163,건설과 ESG 경영,3
164,대한전문건설협회 중앙회장 11월9일 이·취임식,3
165,“공정경쟁 위해 건설 상호시장 진출 제도 보완해야” 한목소리,3
166,덤프트럭 등 건설기계 번호판에서도 ‘지역명’ 사라진다,3
167,서울시 공공 건설현장에 하도급대금 직불제 의무화,3
168,“현행법에 입주는 불법”… 내쫓기고 입찰자격도 박탈 두 번 우는 산단 입주 건설사들,3
169,허영 의원 ‘광주 붕괴참사 재발 방지’ 건설산업기본법 개정안 대표발의,3
170,국토부 장관 “건설노조 횡포 근절하겠다”,3
171,하도급사 이윤까지 털어가는 중소 종합건설,3
172,전문건설호 새 선장 당선에 부쳐,3
173,안경덕 고용부장관 건설현장서 보건관리 실태 점검,3
174,“건설현장 노조 위법행위 엄정 대응”…채용 강요 등 불법에 칼 빼든 정부,3
175,건설노조와 나와바리,3
176,건설엔 재정 균형 집행 필요,3
177,전건협 “영세 전문건설업체 보호방안 마련해야”,3
178,지자체들 ‘지역맞춤형 건설정책’ 개발 박차,3
179,당정 “불법 하도급 퇴출해야…건설현장 상시 관리감독·특사경 제도 필요”,3
180,홍기원 의원 건설현장 자재 품질 개선 위한 건설기술진흥법 개정안 발의,3
181,경기도 ‘일일 건설노동자 경기 재난수당 지급 계획’ 수립,3
182,윤성원 국토차관 “건설현장 강도높은 방역관리 절실”,3
183,6월 건설기성 전월비 2.0% 증가…건설수주는 -15.2%,3
184,올해 2분기 경제성장률 0.7%…건설업은 –1.4%,3
185,건설혁신에 재 뿌리지 말기를,3
186,자잿값 급등 모르쇠 갑들… 전문건설만 골병 “정부가 근본대책 마련해야”,3
187,건설 불공정행위 신고하면 포상금…진성준 의원 법개정안 대표 발의,3
188,단위시공 실명제 숙련도 평가 대안으로 부상…건설기능인등급제 보완책 주목,3
189,국토부 대면·비대면 채널 병행해 해외건설 수주 지원 나선다,3
190,건설업 업역개편 ‘삐끗’…시설물업 폐지 방안에 권익위가 제동,3
191,복잡한 ‘건설특고’…건설기계 소유·직접운전자로 고용보험 적용 대상 한정해야,3
192,정부 건설근로자에  ‘법정 제수당 지급 보장’  제도화 방안 추진,3
193,전문건설 소액수의계약 한도 2배 상향…분쟁조정 대상은 1억으로 확대,3
194,하반기 대규모 건설 투자 추진한다…민·관 110조 투자 프로젝트 등,3
195,해외건설인 백신 우선접종 3분기에도 지속 운영,3
196,발주처 건설혁신 안착·불공정 관행 근절 지원 나선다,3
197,“건설업 노동집약형 탈피 기술·사람 중심으로 변해야”,3
198,공정건설지원센터에 발주자·사용자 부당요구 처분권 부여,3
199,2021 건설의날 기념식 거행…“극복과 성장! 건설인 힘 모아 새로운 도전을”,3
200,무등록업자에 하도급 준 건설사…세 번 걸리면 퇴출,3
201,탄소중립과 소형원전 건설,3
202,경제단체들 “조선·뿌리·건설업 주52시간 추가 계도기간 필요”,3
203,건설의 달에 부쳐,3
204,“‘종합건설업 등록’ 공공기관이 맡아야”…경기도 국토부에 건의,3
205,1분기 GDP 전기 대비 1.7% 성장…건설업은 0.9% 증가,3
206,내달 1일부터 건설기계종사자 등 특고도 고용보험 적용된다,3
207,반도체 SOC 건설 서두르자,3
208,“영세 건설사업자 보호 취약 상호시장 진출 정책 보완해야”,3
209,영호남 6개 시도 달빛 내륙철도 건설 공동요구,3
210,건설 근로자도 ‘명장’ 될 수 있다…국토부 건설근로자 기능등급제도 시행,3
211,건설업 종사자들 ‘코로나19 쇼크’… 대부분 직종 “일감 줄었다”,3
212,건설의 공정과 정의 2,3
213,노형욱 신임 국토장관 “고부가가치 건설 전환 필요…디지털 SOC 등 집중 육성”,3
214,건설 분야 중앙권한 일부 지자체 이양 검토,3
215,“중소건설사 홀대 대신 지원” 국회서 입법 활기,3
216,환산 경력 21년 넘으면 건설 기능인등급 ‘특급’,3
217,경기도 공공건설지원센터 사업계획 사전검토 41건 실시,3
218,건설근로자 직종 60개로 나누고 경력 등으로 4개 등급 적용…시행령 국무회의 의결,3
219,건설에도 불어닥친 ESG 열풍,3
220,건설기능인등급 현장경력에 자격·교육·훈련·포상 이력 합산해 부여,3
221,건설관련 공제조합 운영위에 다양한 조합원 참여 보장,3
222,건설의 공정과 정의,3
223,연구기관들 “올해 건설투자 완만한 회복세 예상…경제 수출 중심 회복”,3
224,대형건설사 협력사 선정에 ESG 적용 확산,3
225,가덕도 신공항 건설 ‘속도전’…사전타당성조사 용역 사전공고,3
226,건설 상호시장 진출 허용 따른 영세업체 보호방안 마련,3
227,공공불신 쓰나미 우려하는 건설업계,3
228,‘건설기계 특고 고용보험’ 7월부터 적용…월 보수 80만원 이하는 제외,3
229,비 상시근무·사무실 공동사용·자본금 편법 충족…건설 페이퍼컴퍼니 단속 확산,3
230,정부 중소기업 지원정책서 건설업 홀대 여전,3
231,‘무등록자 하도급’도 건설업 등록말소 3진 아웃 대상에 포함,3
232,공공도 민간도 “리모델링”…건설업계 새 먹거리로 뜬다,3
233,전문건설 사망만인율 적용 임박…‘상시 근로자 수’ 산정방식 최대 난제로,3
234,정부 가덕도 신공항 건설 속도낸다…국토부 중심 전담 TF 발족,3
235,코로나19로 산업별 노동시장 미스매치 심화…“건설업 등으로 고용 재조정 필요”,3
236,정책 역량강화교육 이수 건설기술인에 역량지수 최대 5점 가점,3
237,건설업등록증·수첩 내년부터 종이에서 시스템 확인으로 개편,3
238,정부 건설업 등 직무평가도구 공개…직무중심 인사관리 기반 마련,3
239,행정편의 발주자 구태 건설산업 생산체계 혁신 발목 잡는다,3
240,종합건설사 10곳 중 1곳은 건설고용지수 0점,3
241,“공공매입임대주택 건설 위한 토지 양도 시 양도소득세 감면”,3
242,국회 환노위 22일 ‘산업재해 청문회’ 개최… 건설 등 9개 기업 증인 채택,3
243,건설기능인 초·중·고·특급 4단계로 나눈다…건설근로자공제회에 업무 위탁,3
244,상호시장 진출 시행 원년… 대한전문건설협회 적극 대응 나섰다,3
245,건설혁신 주춧돌 건드리자는 것인가,3
246,작년 경제성장률 –1.0%…건설투자도 –0.1% 역성장,3
247,기업 옥죄는 과잉입법 잦아 건설업계 숨막힌다,3
248,건설산업 업역 폐지로 ‘주계약자 공동도급제’ 본격 주목,3
249,“건설현장 체불 막자”…윤관석 의원 건산법 개정안 발의,3
250,김영윤 대한전문건설협회 중앙회장 겸 대한전문건설신문 발행인 신년사,3
251,코로나19로 건설업 외국인력 공급난 내년이 더 문제,3
252,내년 E-9 쿼터 5만2000명…건설은 올해보다 500명 감소한 1800명,3
253,내년 7월부터 건설기계조종사 등 14개 특고 고용보험 적용,3
254,건설 주력분야 제도 윤곽 내년 하반기 마련 전망,3
255,부당감액 하도급대금 차액 청구 가능…건설 등 표준하도급계약서 제·개정,3
256,업무전가 거부 막힌 ‘퇴직공제 하수급인 인정승인’…전문건설 선택권 박탈 논란,3
257,도넘은 근로자 ‘을질’에 강수… 전문건설 대응 달라졌다,3
258,모든 공공건설현장 일요일 쉰다…개정 건진법 13일부터 시행,3
259,건설혁신기업에 전문건설 14개사 선정…국토부 보증혜택 등 적극 지원,3
260,코로나19 ‘건설업 지원책’ 실효성 떨어진다…내년 분쟁 증가 전 대책 시급,3
261,전문건설 주력분야 지정 법에 명시 시동…건산법 개정안 국회 발의,3
262,홍석준 의원 “건설근로자 퇴직공제금 청구기한 소멸시효 늘려야”,3
263,건설업계 “유보소득 배당 간주 과세 철회해달라” 탄원,3
264,전문건설업 주력분야 지정해 발주자 선택받는다,3
265,정부·지자체 연말 앞두고 건설현장 앞다퉈 점검,3
266,촘촘해진 부실경보시스템…종합건설 특별조사서 68개사 적발,3
267,문 대통령 “건설현장 추락사는 후진국형 사고…중소현장 밀착관리하라”,3
268,‘건설근로자 전자카드제’ 공공 100억원·민간 300억원 이상 현장에 적용,3
269,김영윤 대한전문건설신문 발행인 “변화의 항해에 나침반 될 것”,3
270,협력사 평가때 ‘사회적책임·시공역량’ 강화…종합건설 관리방식 변화 기류,3
271,건설기능인등급제 시범사업 실시한다,3
272,중소건설사 옥죄는 집단·징벌적 규제,3
273,숙련공 ‘건설인’들을 위한 소회,3
274,도시재생사업은 전문건설이 적합,3
275,전문건설업체들 ‘믿고 맡길 근로자’ 구인난,3
276,종합건설 불황에 “나만 살자”… 갑질 다시 기승,3
277,“사업기간 연장·위약금 면제”···정부 부동산 PF 조정작업 시작,3
278,전건협 제2차 신문사운영위원회 개최,3
279,LH ‘철근사태 속 사퇴’ 임원 후임 외부공모로 선발···내달중 결정,3
280,정부 사우디에 인프라 협력센터···네옴 등 대형사업 수주 박차,3
281,“지방 인구소멸을 막으려면 각종 인프라 구축 시급… 예타기준 높여야”,3
282,예산 깎이고···집행 늦어지고···공공발주물량 한파 우려,3
283,기술형 입찰 단독응찰 시 절대평가 기준·절차 신설,3
284,국회 12개 위원회 세종으로···세종의사당 2031년 완공 전망,3
285,‘철근누락·전관특혜’ LH 자체혁신안 마련 착수···“역할 재정립”,3
286,“갑질 피해업체 구제·대전 원도심 부활 역점”,3
287,기술탈취 조사 강화한다···공정위 특허청과 ‘맞손’,3
288,원희룡 카타르 에너지 국무장관 면담···“인프라 협력 강화”,3
289,장비임대를 불법하급도 오인 과잉 행정제재 ‘물의’,3
290,레미콘 트럭·소형 타워크레인 2025년까지 신규등록 제한,3
291,“지구상 어디든 간다”···정부 우크라 재건 참여 ‘드라이브’,3
292,자재장비대금 직불시스템 ‘무용지물’···사용률 0.24%,3
293,우크라 재건 사업 본격시동···“국내 기업 70조 사업 기회”,3
294,이권세력화한 노조 면책요구 등 불법·부당행위 잦아,3
295,국고보조금 부정사용 신고포상금 상한 ‘2억→5억’ 입법예고,3
296,LH ‘전관업체’ 계약 648억원 규모 취소···“전관 고리 이번 기회에 단절”,3
297,원희룡 장관 “LH 전관업체와 용역계약 절차 중단”···LH “바로 이행”,3
298,원희룡 “작업 현황판 파악도 못하는 LH 존립근거 있나”,3
299,권익위도 나선다···LH ‘이권 카르텔’ 공익신고 접수키로,3
300,LH 발주 평가·심사서 손떼나···외부기관 위탁 방안 검토,3
301,원희룡 장관 “LH 전관 참여 업체 용역서 배제 검토”,3
302,LH 15개 현장 관련업체 수사의뢰···이한준 “경찰수사 따라 구상권”,3
303,정부 ‘철근 누락’ 무량판 특수구조물 지정 검토,3
304,용인 등 7곳 첨단전략산업 특화단지···614조 민간투자 이끈다,3
305,‘빈일자리’ 21만4000개···구인난 해소 지원 업종 6개→10개 확대,3
306,GTX·도로 지하화 산업벨트 육성…수도권 ‘20년 대계’,3
307,원희룡 “모듈러 시장 진입장벽 낮출 것···해외수주 가능성 높아”,3
308,조달청 조직 전면 개편···신성장·공정성·전문성 강화,3
309,조달청 연간 3000억 규모 관급자재 선정제도 전면 개편,3
310,다수공급자계약(MAS)제도 대폭 개선…현장규제 완화,3
311,전기료 인상에 건자재 가격도 ‘꿈틀’,3
312,14년묶인 레미콘 증차 허용될까…원희룡 “카르텔 깨는게 원칙”,3
313,공정위 특고 대상 갑질 심사지침 보완…노무제공자로 명칭 변경,3
314,조달청 “레미콘 다수공급자계약제도 개선책 상반기에 마련할 것”,3
315,부동산PF 부실 우려에…금융사 3800곳 ‘대주단 협약’ 재가동,3
316,기업이 지방개발 주도 ‘기업혁신파크’ 추진,3
317,특례시 권한 확대…물류단지 개발 등 7개 업무 직접 수행한다,3
318,원희룡 장관 “규제개선 통해 새싹기업 혁신기술 초연결 적극 지원”,3
319,‘가덕도 신공항 조기 착공법’ 국회 본회의 통과,3
320,용기 있는 비노조 타워크레인 기사에게 박수를,3
321,용인 등 15개 국가첨단산단 속도전…내달까지 사업시행자 정한다,3
322,주계약자 공동도급제 폐지 기로…불공정 가중·상생 악영향 우려,3
323,원희룡 “타워크레인 일탈행위 도 넘어…이기적인 불법행위”,3
324,550조 투자 용인 반도체 국가산단 등 15개 첨단산단 조성 추진,3
325,가덕도신공항 개항 시기 5년6개월 대폭 앞당긴다,3
326,40조원 규모 신수도 이전…수주지원단 이번엔 인도네시아 간다,3
327,원희룡 장관 “타워 태업 계속땐 운행기록장치 설치하고 대체인력 투입”,3
328,임대인에 임대정보 요구·세금 체납 등기부 기재…국가는 피해방지 지원,3
329,서울시 ‘엿가락 다리’ 방지한다…소규모 육교·터널 정밀점검,3
330,원희룡 “노조비 4000만원 내야 타워크레인 운전하는 독점 깨겠다”,3
331,공정위 조직 전면 수술…신속한 사건처리 역량 대폭 높인다,3
332,대금 최저가 아래로 후려친 원청에…대법 “차액지급 공정위 명령 합당” 판결,3
333,“주계약자제도 입찰참여자 선택으로의 개정은 제도폐지와 다를 바 없어”,3
334,건자재 시장동향 정기조사로 수급난 막는다,3
335,부실벌점 합산방식으로 변경…제재대상 는다,3
336,원희룡 장관 “미분양 정부가 떠안을 단계 아냐…매입임대 제도개선”,3
337,대법 “공정위 벌점은 ‘행정처분’ 아냐…불복 소송 대상 아니다”,3
338,새해 주의해야 할 갑질…대금 미지급 유형 전체 70% 달해,3
339,정부 “상반기 340조 투입해 경기 대응…이달 59만명 조기 채용”,3
340,조달청 올해 조달사업에 82조5000억 집행…전년 대비 5%↑,3
341,윤 정부 첫 살림 3000억 깎인 638조7000억…재정건전성은 지켰다,3
342,당정 “외국인 고용제한 전면해제 추진…타워크레인 월례비 등도 손볼 것”,3
343,공정위 중기 기술탈취 대응 강화 위해 기술유용감시과 신설,3
344,“인니 신수도 수주전략 마련” 국내 12개 기업·기관 연합체 출범,3
345,“입찰 들러리 구해와라” 부당한 공공기관 요구 막는다,3
346,화물연대 “파업 종료 결정”…16일만에 현장 복귀,3
347,화물파업 운전대를 돌리는 용기가 필요하다,3
348,서울 도심 높이 제한 풀린다…‘기준높이+α’로 완화,3
349,호남선 고속화 등 4개 사업 예타 통과,3
350,“도심 복합개발 민간에도 허용”…김정재 의원 ‘도심 복합개발 지원법’ 발의,3
351,LH 김현준 사장 사의 표명…문 정부 대형 공공기관장 중 처음,3
352,일제강점기 일본인 명의 토지 520만㎡ 국유화 완료…여의도 1.7배,3
353,“층간소음 잡는다”…바닥 9㎝ 높이면 용적률 5% 인센티브,3
354,상호진출시장 상대업종 등록기준 점검항목 중 ‘사무실’ 요건 삭제,3
355,공정위 피심인 의견청취 2회 이상으로 늘린다…“기업 방어권 강화”,3
356,원희룡 장관 “지적 재조사·측량사업서 민간 영역 확대”,3
357,“조달현장 규제 뿌리 뽑는다”…조달청 규제혁신위원회 발족,3
358,“예산 조기집행 위해 긴급입찰 발주”…기재부 불황극복 계약지침 마련,3
359,원희룡 장관 폴란드 신공항협력단과 면담…인프라 협력 논의,3
360,공정위 불투명·경직적 ‘고발기준’ 손본다…내년초 개선안 발표,3
361,공공기관 신설·신규 인가때 비수도권 우선 고려한다,3
362,LH 8조4000억원 규모 중기 제품 구매…동반성장 추진계획 발표,3
363,원희룡 장관 첫 행보는 청년 간담회…“역세권 첫집 연내 사전청약”,3
364,산사태 위험 24시간 전 제공…행안부 여름철 태풍·호우·폭염 종합대책,3
365,“초광역권 경쟁력 강화위해 계획에 인재 육성전략 등 담는다”,3
366,소규모 정비사업 실거주자 조합원 지위양도 가능해진다,3
367,원청사 ‘물가연동 에스컬레이션 금지’ 강요,3
368,홍남기 부총리 “시멘트 수입선 다변화·국내생산 독려…담합 엄정 대응”,3
369,"노형욱 장관 “도심복합사업 정부 떠나 차질 없이 진행돼야""",3
370,호남·제주 철콘업체들 전국 200개 현장 멈춘다…전국 규모 확대 우려도,3
371,인수위 불공정거래 피해구제 방안 고심…업계 만나 논의,3
372,수급 불안에 시멘트 생산량 35% 늘린다…수출물량은 내수용 전환,3
373,인구 100만 특례시에 물류단지·지방관리무역항 개발 권한 부여,3
374,경기도의회 공공입찰 사전단속제도 기준 완화 추진,3
375,경쟁 제한하는 지자체 조례 196개 연말까지 개선,3
376,토지거래허가지역 허가 대상 면적 강화…주거지역 18㎡→6㎡,3
377,“대장동식 개발 더이상 안돼”…공원부지 개발 초과이익 환수,3
378,시·도 넘어 ‘초광역권’ 개발 추진…국가균형발전법 국회 통과,3
379,정부 “경제안보 품목 공급망 위험 상시화…효과적 대응체계 마련할 것”,3
380,공정위 “힘의 불균형 이용한 갑질 근절”…새해 업무계획 발표,3
