title,topic_idx
GIG-토탈에너지스 울산과학기술원 우수 학생에 장학금 ,2
韓 조선 계절의 여왕 5月 만끽,2
Ulstein 한진중 지질탐사선 설계 수주 ,2
[월간 선박뉴스 2021년 6월호],2
연간 1천억 달러 이상 발주 기대,2
“조선업 향후 10년간 호황”,2
올 가을은 해운조선·기업 IPO의 계절,2
주요 선종별 발주 전망[표],2
신조시장 중장기 호황 지속 전망,2
해상풍력발전 美 새 산업으로 부상,2
조선 슈퍼사이클 예감,2
상위 10대 조선 그룹 글로벌 오더북 80% 차지,2
[월간 선박뉴스 2021년 5월호],2
대형선 슬롯 품절,2
청사포 해상풍력발전 프로젝트 힘 받는다,2
“해운대 앞 바다를 풍력 단지로”,2
오더북 길이는 늘어났지만,2
신조선의 절반에 석면이...,2
대한조선 암모니아 추진선 개발 착수,2
금년에 선가 20% 상승,2
韓 절반 이상을 삼켰다 ,2
[월간 선박뉴스 2021년 4월호],2
한국 조선 올 1분기 전년 동기 대비 10배 수주,2
올 KOMTS 6월 개최 예정,2
선박 설계 고정 관념에서 벗어나라,2
조선소 건조 선대 동났다,2
울산시 ICT융합 스마트선박 계류지 물색,2
韓 2月 글로벌 수주 1위 ,2
국내조선업계 세계 ‘컨’선 절반 수주,2
[월간 선박뉴스 2021년 3월호],2
GIG-토탈 영국 해상풍력 공동개발 공유수면 임차권 획득,2
韓 1月 발주량 54% 석권,2
‘탈탄소화 소홀’ 조선소 탓만 아니다,2
금년 풍력 발전 투자 기록 경신 전망,2
EEXI 신조선 발주에 큰 영향,2
올 글로벌 발주량 24% 증가,2
배 떠난 부둣가에,2
韓 절치부심 끝 희망 쏘다 ,2
물들어온다 노 저어라,2
[월간 선박뉴스 2021년 1월호],2
우리의 기백을 영원한 자산으로!,2
2021 조선 시황 회복 낙관,2
中 현대․대우 기업결합 승인 ,2
[월간 선박뉴스 2020년 12월호],2
내년 발주량 지난해 수준 근접,2
내년 수주 전반적으로 개선 ,2
벌거숭이로 뛰는 조선 ,2
금년 발주선 10%가 LNG dual-fuelled,2
조선 빅3 연말 총 공세,2
KT 구현모와 현대중 정기선 왜 만났나?,2
美 中 조선에 투자 못한다,2
韓 조선 4개월 연속 수주 1위,2
신조선 시장 새벽이 오고 있다,2
내년 발주량 2배 이상 증가,2
Dual-fuel이 대세,2
造船의 희망가,2
내년에 발주 살아난다,2
[월간 선박뉴스 2020년 11월호],2
이 황량한 조선시장에 태양의 신이 강림하려나,2
조선시장 10년호황 온다,2
韓 연말 수주 보따리 ,2
Keppel-韓 조선사 합병?,2
韓 3개월 연속 수주 1위 ,2
[월간 선박뉴스 2020년 10월호],2
건조 일감 89년 이후 최저,2
“Capex 집착은 근시안적”,2
日 수소 추진 페리선 건조 추진,2
대우조선 HMM 초대형 '컨'선 모두 인도 ,2
해상풍력이 신규 풍력발전의 20% 차지 ,2
때 아닌 여름 산타클로스,2
[월간 선박뉴스 2020년 9월호],2
조선해양공학과 교수들 현장 체험,2
韓 탈 LNG 시대 대비 필요 ,2
WTIV 한 걸음 앞으로,2
조선 빅3 LNG추진선 기술특허출원 우위 차지,2
가을이 오면 나아지려나 ,2
세계 조선 이대로?,2
[월간 선박뉴스 2020년 8월호],2
국내 조선업계 ISO 표준 19종 개발,2
EU 경기부양 국내 조선업계에 긍정적 영향,2
세계 1등 조선사 1등 항만과 손잡다,2
중국 산 3만 cbm급 LNG선 리세일 가격 $50.3m 선,2
EC 현대중-대우조선 결합심사 또 연기,2
해운ㆍ조선ㆍ항만 ONE 플랫폼 개발 착수,2
Green Transition이 희망이다,2
6月 발주량 10년 만의 최저,2
2차 감염 확산은 조선 시장에 치명적,2
금년 인도량 7천6백만 톤에 불과,2
EC 현대중-대우조선 합병 반대 가능성 ,2
[월간 선박뉴스 2020년 7월호],2
5月 발주량 4月 대비 60% 감소,2
[월간 선박뉴스 2020년 6월호],2
현대-대우결합 최대 걸림돌은 일본,2
대우조선 내빙 LNG선 5척 곧 수주,2
2030년 대 중반 신조선 수요 피크,2
글로벌 발주량 2개월 연속 증가,2
글로벌 오더북 16년 만에 최저,2
조선업계에 시련만큼 기회도 온다,2
1분기 신조 발주 역대 최저,2
[월간 선박뉴스 2020년 5월호],2
비빌 언덕이 없다,2
해운 장래 공기에 달렸다,2
韓·日 조선업 분쟁 장기화 전망,2
납기 지연 선박 GBS 면제,2
봄은 왔건만 LNG선 발주 소식은 없고...,2
신조선 시장 내년에 회복,2
EC 현대중-대우조선 결합 심사 연기,2
그 밥에 그 나물 ,2
[월간 선박뉴스 2020년 4월호],2
조선시장 상처에 소금까지,2
신조선 발주는 모험이 아니다,2
유가 폭락 조선사에 호재냐 악재냐 판단 애매,2
조선 시장 기댈 곳은?,2
유가 하락 신조선 시장 영향 우려,2
해수부 페루 국영조선소 확장 타당성조사 사업 발주,2
韓 세계 발주량 감소 속 2月 수주 1위,2
신조선 건조 상담 뒤뚱,2
Abu Dhabi Ports 세계 최초 전자동 무인 예인선 개발 착수,2
EU 현대중·대우조선 기업결합 심사 결과 7월 발표,2
日 조선-해운-무역 고리 흔들린다,2
日 현대-대우조선 기업결합 심사 개시 ,2
크레딧 애널들의 수다,2
대우조선•MOL LNG-FSRU 솔루션 공동개발,2
日 비장의 카드 꺼내면 꽝?,2
日 설계인력 부족으로 쇠락 ,2
[월간 선박뉴스 2020년 3월호],2
조선 시장 반등 기미 안 보여,2
日 현대중-대우조선 합병에 딴지,2
대우조선·삼성중 中 블록공장 재 가동,2
1월 신조 발주량 1년 전의 25%,2
“금년 신조선가 만족하기 어려운 수준”,2
현대중·대우조선 EU 기업결합심사 1개월 연기,2
지난해 신조선 투자 8% 감소,2
日 WTO 제소 재미 붙였나,2
“올해 신규 발주 588척”,2
[월간 선박뉴스 2020년 2월호],2
日 조선협회장 극동지역 조선국들 싸잡아 비난,2
대우조선 인도 잠수함 도전,2
외신 “인니 해군 대우조선 잠수함 3척 계약 취소 검토” 보도,2
“금년 신조선 시장 회복 난망”,2
암모니아 추진탱커 개발 스타군단 출범,2
올 신조선 발주량 50% 증가,2
Clarksons 수정 구슬은...,2
올 발주 규모 28% 증가 전망,2
올 신조시장 유조선만 받쳐주면 한 번 해볼 만,2
[월간 선박뉴스 2020년 1월호],2
유럽조선협 한국 비난,2
향후 3년 중 신조선 발주 증가,2
이 긴 겨울을 어쩌나?,2
시장은 끓는데 투자는 냉랭,2
EU 현대중-대우조선 기업 결합 1단계 심사 결과 곧 발표,2
가뭄도 유만부동,2
韓 11개월 누적 수주량 1위,2
[월간 선박뉴스 2019년 12월호],2
2020년 신조시장에 봄,2
블랙홀이 오히려 희망이다,2
현대중-대우조선 합병 후엔 어떤 일이...,2
삼성중 美서 뇌물죄 벌금 890억 물기로,2
EU 현대·대우기업결합 본 심사까지 갈 수도,2
韓 10월 및 누계실적 中 제압,2
[월간 선박뉴스 2019년 11월호],2
조선 내년에도...,2
없는 집 제사 찾아오듯,2
韓 9월 수주량 中 이어 2위 ,2
조선업체들 마지막 스퍼트,2
대우조선노조 다양한 방법으로 저항,2
향후 5년 발주량 지난 5년보다 24% 증가,2
㈜한국해사기술 국내 해상풍력 발전사업 진출,2
“내년에 신조선 발주 증가”,2
왜 신조선 시장 침묵하나?,2
[월간 선박뉴스 2019년 10월호],2
현대중 美서 벌금 560억원 부과 받아,2
韓·中 누적 수주량 격차 대폭 감소,2
현대중-대우조선 결합 日 태풍 비켜갈까?,2
日 현대-대우 결혼 인정?,2
[월간 선박뉴스 2019년 9월호],2
삼성重 나이지리아에 좋은 씨 뿌렸다,2
신조선 발주 증가 전망,2
韓 7월 수주량 1위... 석 달 연속 中 제쳐,2
선주들 발주 사리는 것이 더 큰 문제,2
한·중 메가 합병 후 선가 10% 상승,2
바람이다![2] 해상풍력 본격화로 주목받는 국내 조선해양플랜트 강자들 ,2
바람이다![1]] 조선해양플랜트 산업 해상풍력으로 뜬다,2
[월간 선박뉴스 2019년 8월호],2
한·중 결혼 시즌의 명암,2
中 ZYIT 자율운항 기술 개발 박차,2
2009~2018 선박투자 1조달러 상회,2
Chevron 사장단의 행보에 관심,2
현대중·대우조선 합병에 일본이 몽니?,2
韓 6월 수주량 두 달 연속 중국 제쳐,2
日•中 강속구로 韓 조선산업 견제 ,2
신조선가 약세 피하기 어려울 듯,2
[월간 선박뉴스 2019년 7월호],2
韓 중국보다 배가 더 고프다,2
[월간 선박뉴스 2019년 6월호],2
韓 5월 글로벌 발주량 60% 석권,2
울산 앞바다 바람으로 뜬다,2
해양설비‧LNG선 입찰 연기 악재,2
천둥벌거숭이를 아시나요?,2
[박무현의 視視角角] 조선소들 돈 버는 시기 도래했다,2
삼성중 1.8억불 지급명령 관련 英고법에 항소 예정,2
[월간 선박뉴스 2019년 5월호],2
中 두 달 연속 수주 1위...자국 발주 증가 영향,2
대우조선 Arc7LNG선 건조 관계사들에 세부기술 함구 요청,2
조선업계 살 길 찾아 몸부림,2
ICT융합 스마트선박 추경예산 25억원 반영 ,2
중소조선사 RG 보증 2000억원 본격 시행,2
ICTSI “HHIC-Phil 인수해도 조선사업엔 관심 없다“,2
韓 올 1분기 세계 신조 수주 점유율 28% ,2
[월간 선박뉴스 2019년 4월호],2
카타르 대규모 LNG선 발주 시동,2
신조선시장 언제 봄꿈 깨나,2
조선업계 합병으로 불황에 맞서다,2
현대-대우 합병의 두 얼굴,2
“초일류 기술로 시장의 판 바꿔나가자” ,2
LNG선가 인상 중국 손에,2
삼성중 수주 잔량 현대중 앞서,2
“현대重-대우조선합병 진정한 해결책 아니다”,2
[월간 선박뉴스 2019년 3월호],2
옵쇼어선시장 최악 상황 완전 탈피,2
신조선가 상승 불가피,2
한진중 한 수 잘 가르쳐주고 떠난다,2
한진중수빅조선소 인수에 美 2개 펀드까지 가세,2
韓 2월 신조선시장 석권,2
대우조선 日서 증발가스 재액화 특허분쟁 연전연승,2
세계 조선 수도 울산 세계 최강 미래 조선산업 강화 로드맵 수립 ,2
아시아 선주들 글로벌 발주 금액의 48% 투자,2
1월 신조 발주 금액 작년 1월 대비 감소,2
Clarksons 신조선가 1년 전 대비 4% 상승,2
금년 첫 달에 78척 2.1m cgt 발주,2
글로벌 오더북 1년 전 보다 4% 증가,2
韓 LNG선가 많이 못 올린다,2
한진重 클린 컴퍼니로 재도약 기대,2
산은 한진重 주채권은행 역할 다 하기로,2
경남 조선업 생태계 한꺼번에 무너질 수 있다,2
韓 1월 레이스에서 中에 뒤져,2
현대중 한진중수빅야드 인수에 관심,2
지역 조선업 퇴직자에 최대 4천만 원 지원 ,2
8개 아시아 조선사 Woodside FPSO 2척 수주 경쟁,2
필리핀 정부 한진중 수빅조선에 구제 금융 제공 계획,2
카타르 LNG선 봇물 터진다,2
신조선가 상승세 유지 ,2
신조선 시장 아직 갈 길 멀다,2
부산시 '한진중 수빅조선소 기업회생' 긴급 간담회 마련 ,2
지난해 신조선 발주 척 수 1천척 돌파,2
7년 만의 설욕,2
상당수 신조선 투자결정 금년에 내려진다,2
신조선 시장 언제 뜨나?,2
[월간 선박뉴스 2019년 1월호] ,2
한·일 조선 관계자 서울서 회동,2
지난해 탱커 410척 주인 갈아타,2
[월간 선박뉴스 2018년 12월호] ,2
韓 금년 선박 수주 1위 확실시,2
韓 조선 지원 정당하다,2
조선업계·철강업계 후판가 협상 앞두고 신경전,2
韓·日 WTO 조선분쟁에 EU 참여 의사 밝혀 ,2
조선해양산업 인적자원개발위 전남 산업 인력 양성 ,2
민‧관 일체 조선산업 활력제고 위한 상생협력 협약식 개최,2
일본이 배가 아픈 이유,2
정부 日 ‘WTO 제소’ 반박,2
日  WTO에 우리 조선업계 제소 추진,2
韓 3년만에 수주량 1000만CGT 돌파...수주량 1위,2
“조선업황 회복 기대감  상승”,2
15년 내 조선 붐 온다,2
선가 상승세 2021년까지 지속,2
韓 9월 수주량 1위 유지...수주잔량 2000만 cgt 넘어서,2
Reliance FPSO 조선 빅3에게 반전의 디딤돌 ,2
삼성중 나이지리아 FPSO 합법 건조,2
금년 신조선 인도량 2011년의 절반 수준,2
YTD LNG선 39척 한국 품에,2
中 신조선가 서서히 상승,2
韓 8월 수주량 1위...선가 일제히 상승,2
YTD 발주 금액은 400억달러,2
대우조선 리그 수주가능성?,2
첫 7개월 신조선 투자 금액 10% 증가,2
한·중·일 수주 가뭄에 하늘만 쳐다볼 뿐,2
클락슨 신조선가 4% 상승,2
글로벌 조선 일감 14년만의 최저로 추락,2
7월 수주실적 中에 더블스코어 이상 앞서,2
한국 글로벌 LNG선 오더북 71% 점령,2
신조선가 수년 내 10~15% 상승,2
우리 조선사들 Anadarko LNG선 16척 확보 계획에 군침,2
“국내 조선업계 미‧중 무역전쟁 타격 거의 안 받을 듯”,2
조선 3국지의 종착역은?,2
韓 5월 신규 수주량  55만 cgt·15척으로 글로벌 1위,2
“조선 설비과잉 문제 내년 G20서 논의”,2
환경 규제가 새로운 조선 붐 촉진 ,2
中 Tortue 가스전 FPSO 수주전서 앞섰다?,2
향후 10년 신조선수요 5천 척 36m GT,2
[세미나 릴레이-3] 스마트 조선해운 4.0 어떻게 준비해야 하나,2
한국 2월 세계 발주량의 52.3% 수주,2
수주 회복세 불구 조선 빅3 수주잔량 모두 감소 ,2
지난해 우리 조선업계 선전,2
정부 2018년도 조선·해운 등 기존 산업 신속한 구조조정,2
한·중 조선 필살기,2
2018년 신조선가 오른다,2
중고선 가격상승이 신조선 발주 증가 유도,2
현대상선 “초대형 ‘컨’선 12척 발주 논의한 적 없다”,2
Qulity Ship을 원하는 선주가 한국 조선의 힘이다,2
조선시황 개선되고 있다,2
유럽 선주 신조선 투자 호조,2
신조선 발주 금액 1년 전 보다 59% 증가,2
신조선가 아직 기지개 켤 생각 안 해,2
조선 업계 자동차업계 본 받을 수 있나?,2
신조선가 오르지 않는 이유?,2
삼성중 中과 멕시코만 해양플랜트 수주 경쟁,2
8월 신조 발주량 급감 ,2
유럽 선주들이 신조선 투자 주도,2
신조선 투자 금액 58% 증가,2
금년 신조선 발주 작년 比 76% 증가,2
특정 선종 편중 발주 심화,2
조선 시장 최악 상황 끝,2
옛날식 조선사이클 판단 안 통해,2
신조선 시장 한 여름 더위 푹푹,2
글로벌 조선사 수 급감,2
금년 내 한국해양진흥공사법 제정 ,2
군산조선소 재 가동 프로젝트 본격 시동,2
“신조선 발주 시황 회복 위협 안 돼”,2
조선사 50% 1년 반 동안 수주 제로,2
韓 상반기 신조 수주 2위 ,2
현대중·사우디 합작 조선소 타당성은?,2
ASEF IMO 내 아시아 조선국들 목소리 높이자,2
[신조선 수주 현황(2017년 6월 1일~)],2
대우조선해양 수주 잔량 1위 차지,2
미·중 에너지 협력 LNG선 수요 촉진 기대,2
韓 선박 수주량 4월∼5월 두 달 연속 1위 ,2
대우조선해양 살아 있음을 보여주다,2
Stena Drilling 삼성중 반잠수식 시추선 1척 취소,2
현대삼호중공업 Zvezda와 러시아에 합작사 설립 합의,2
형편 되는 선주는 얼마든지 신조 발주 한다,2
사우디 메가 조선소 한·중·싱가포르 위협,2
현대重 사우디 합작 조선소 2019년 가동 개시,2
대우조선 “그런다고 LNG 재액화 기술이 어디로 가나”,2
국내 해운사 발주선 20척 중 13척이 중국 행,2
[신조선 수주 현황(4월 28일~)],2
조선업 지난해 바닥 쳤다,2
선가 반등 희망의 신호탄인가 신기루인가?,2
조선 빅3 ‘Norshipping 2017’ 서 수주 활동 적극 벌인다 ,2
Yara International 세계 최초 무공해 자율 선박 발주 예정,2
클락슨 신조선가 지수 소폭 하락,2
금년 글로벌 신조선 인도량 크게 늘어나지 않을 듯,2
VLCC 신조선가 $86m까지 갈 수도,2
한반도 긴장이 조선업계에 미치는 영향은?,2
현대중 사우디 국영 선사 Bahri와 스마트십 사업 MOU 체결,2
글로벌 조선업계의 새 규율 만들자 ,2
신조선가 여전히 머뭇머뭇,2
韓-印 조선 분야 방산협력 MOU 체결,2
모든 조선국 모든 선종 가지치기,2
우리 대표단 日·EU에 대우조선 지원 문제 적극 소명,2
WP6 대우조선 지원 문제 집중 공격 별러,2
금년 1분기 수주 실적 작년 동기 비 절반 감소,2
세계 조선 시장 지도 완전히 새로 그려진다 ,2
“한국 건조 표준선 5년 내 멸종”,2
선가 미세한 수준으로 오르기 시작 ,2
1분기 세계 신조 발주량 작년 동기 대비 36.5% 증가,2
신조선 수주 현황(3월 27일~),2
정성립 대우조선 사장 온몸으로 호소,2
조선업 장기상승 초기국면 진입,2
내년 한국 건조설비 50% 감소...동북아 조선클러스터 이을 다음 클러스터는?,2
“EU 中 조선 산업 강화 정책에 대처할 줄 모른다”,2
美 조선업계 트럼프 효과 얼마나 볼까?,2
“척당 7750만달러는 VLCC 리세일 선가의 마침표”,2
1월 신조선 투자 금액 11억달러 ,2
클락슨 신조선가 지수 1년 전 비해 7% 하락,2
국내 조선업계 금년 1월 수주 실적 中·日 앞서,2
2016년은 ‘유럽 조선의 해’,2
세계 조선업계 선가 전쟁 재발 가능성에 촉각,2
작년 신조선 발주 척 수 20년만의 최저,2
소난골 드릴쉽 인수 조선사에 긍정적 영향,2
금융위 '감사인 선택지정제' 도입,2
지난해 한·중·일 조선소 통틀어 40개사만 신조선 수주,2
지난해 발주 척 수 전년비 76% 감소,2
대우조선해양 이란 신규 수주 기대감,2
임종룡 금융위원장 조선 빅 3 → 빅2 재편 없다,2
STX프랑스 매각 본입찰에 伊 Fincantieri 단독 참여,2
격동의 2016년이 주는 교훈,2
2017년에도 선가는 계속 슬라이딩,2
2016 신조선 시장 크루즈선과 상선으로 2원화 심화,2
한·이란 신조선 건조 계약 체결에 중국 심기 불편,2
중국의 돈 vs 한국의 기술,2
OECD 한국의 대우조선 지원 계속 모니터 하기로,2
신조선 시장 새해에는 활기 찾을까?,2
日 한국 정부 대우조선 지원 비난,2
해외경영 최대 성공 사례 한진중수빅조선소에 정광석 사장 투입  ,2
현대중공업 사우디 합작조선소 2021년까지 건립 ,2
콩고 브라자빌 FLNG 프로젝트 입찰 본격 추진,2
